No,Yapı,Koordinat,Ada/Parsel,Adres,İşlev,Kat Sayısı,Tescil Bilgisi,Yapım Yılı,Mimarı,Değişmişlik Durumu,Foto,Açıklama,lat,lon,Mahalle,bölge
2_1_1,Abdi İpekçi Parkı,"39.928023, 32.856800",,"Abdi İpekçi Parkı, Sağlık Mah., Çankaya, Ankara",Park,,Tescilli,1981,-,,,,39.928023,32.8568,SAĞLIK,2
2_1_2,Ankara Valiliği,"39.926691, 32.856196",1039/14,"Mithatpaşa Cad., No:1, Çankaya, Ankara",Devlet Dairesi,3.0,Değil,1926-27,Theodor Jost,,,Erken Cumhuriyet Dönemi yapısı,39.926691,32.856196,CUMHURİYET,2
2_1_3,,"39.927375, 32.856483",1037/3,"Sağlık 1. Sok., No:1, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.927375,32.856483,FİDANLIK,2
2_1_4,,"39.927272, 32.856654",1037/2,"Sağlık 1. Sok., No:3, Fidanlık Mah., Çankaya, Ankara",Devlet Dairesi,6.0,Değil,,,,,,39.927272,32.856654,FİDANLIK,2
2_1_5,,"39.927092, 32.856807",1037/1,"Sağlık 1. Sok., No:5B, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.927092,32.856807,FİDANLIK,2
2_1_6,,"39.926158, 32.856600",1039/14,"Mithatpaşa Cad., No:3B, Çankaya, Ankara",Yıkılmış mı?,7.0,Değil,,,,,,39.926158,32.8566,CUMHURİYET,2
2_1_7,Sosyal Güvenlik Kurumu,"39.925799, 32.856070",1039/13,"Mithatpaşa Cad., No:7/7, Çankaya, Ankara",Devlet Dairesi,6.0,Değil,,,,,,39.925799,32.85607,CUMHURİYET,2
2_1_8,Sosyal Güvenlik Kurumu,"39.925722, 32.856951",1039/15,"Süleyman Sırrı Cad., No:5, Sağlık Mah., Çankaya, Ankara",Devlet Dairesi,10.0,Değil,,,,,,39.925722,32.856951,SAĞLIK,2
2_1_9,,"39.926960, 32.857175",1038/9,"Sağlık 1. Sok., No:7, Fidanlık Mah., Çankaya, Ankara",Otel,6.0,Değil,,,,,,39.92696,32.857175,FİDANLIK,2
2_1_10,,"39.926732, 32.857175",1038/18,"Sağlık 1. Sok., No:9B, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.926732,32.857175,FİDANLIK,2
2_1_11,,"39.926670, 32.857265",1038/17,"Sağlık 1. Sok., No:11, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.92667,32.857265,FİDANLIK,2
2_1_12,,"39.926642, 32.857310",1038/7,"Sağlık 1. Sok., No:13A, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.926642,32.85731,FİDANLIK,2
2_1_13,Grand Dora Otel?,"39.926469, 32.857561",1038/5,"Sağlık 1. Sok., No:17A, Fidanlık Mah., Çankaya, Ankara",Otel,6.0,Değil,,,,,,39.926469,32.857561,FİDANLIK,2
2_1_14,,"39.926380, 32.857696",1038/4,"Sağlık 1. Sok., No:19A, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.92638,32.857696,FİDANLIK,2
2_1_15,,"39.926345, 32.857876",1038/3,"Sağlık 1. Sok., No:21B, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.926345,32.857876,FİDANLIK,2
2_1_16,,"39.926214, 32.857948",1038/20,"Sağlık 1. Sok., No:23, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.926214,32.857948,FİDANLIK,2
2_1_17,,"39.926421, 32.858271",1038/19,"Süleyman Sırrı Cad., No:19C, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.926421,32.858271,SAĞLIK,2
2_1_18,,"39.927175, 32.857292",1038/21,"Marmara Sok., No:4D, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.927175,32.857292,SAĞLIK,2
2_1_19,,"39.927189, 32.857615",1038/11,"Marmara Sok., No:6A, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.927189,32.857615,SAĞLIK,2
2_1_20,,"39.927140, 32.857732",1038/12,"Marmara Sok., No:8B, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.92714,32.857732,SAĞLIK,2
2_1_21,,"39.927057, 32.857921",1038/22,"Marmara Sok., No:10, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.927057,32.857921,SAĞLIK,2
2_1_22,,"39.927016, 32.858011",Yıkılmış mı?,"Marmara Sok., No:12A, Sağlık Mah., Çankaya, Ankara",Yıkılmış mı?,6.0,Değil,,,,,,39.927016,32.858011,SAĞLIK,2
2_1_23,,"39.926954, 32.858163",1038/15,"Marmara Sok., No:12C, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.926954,32.858163,SAĞLIK,2
2_1_24,,"39.926898, 32.858343",1038/16,"Marmara Sok., No:16-18B, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.926898,32.858343,SAĞLIK,2
2_1_25,,"39.926822, 32.858523",1038/1,"Marmara Sok., No:21C, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.926822,32.858523,SAĞLIK,2
2_1_26,Yenişehir Sosyete Pazarı,"39.927825, 32.857813",,"Aksu Cad., No:3C, Sağlık Mah., Çankaya, Ankara",Pazar Alanı,,Değil,,,,,,39.927825,32.857813,SAĞLIK,2
2_1_27,,"39.926822, 32.858523",1034/38,"Marmara Sok., No:21C, Sağlık Mah., Çankaya, Ankara",Ticari,8.0,Değil,,,,,,39.926822,32.858523,SAĞLIK,2
2_1_28,,"39.927825, 32.857813",1034/54,"Aksu Cad., No:3C, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,7.0,Değil,,,,,,39.927825,32.857813,SAĞLIK,2
2_1_29,,"39.927853, 32.858100",1034/53,"Aksu Cad., No:5C, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.927853,32.8581,SAĞLIK,2
2_1_30,,"39.927694, 32.858091",1034/52,"Aksu Cad., No:7A, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.927694,32.858091,SAĞLIK,2
2_1_31,,"39.927797, 32.858478",1034/51,"Aksu Cad., No:9C, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.927797,32.858478,SAĞLIK,2
2_1_32,,"39.927548, 32.858523",1034/50,"Aksu Cad., No:11A, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.927548,32.858523,SAĞLIK,2
