İL KAYIT NO,İLÇE KAYIT NO,BELDE/ KÖY KAYIT NO,MAHALLE KAYIT NO,İL ADI,İLÇE ADI,BELEDİYE ADI,MAHALLE ADI,MEDENİ DURUM,TOPLAM,ERKEK,KADIN,yıl,BELDE/KÖY ADI
6,1130,2429,1445,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,BATTALGAZİ,HİÇ EVLENMEDİ,7319.0,4260.0,3059.0,2022,
6,1130,2429,1445,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,BATTALGAZİ,EVLİ,17634.0,8720.0,8914.0,2022,
6,1130,2429,1445,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,BATTALGAZİ,BOŞANDI,1031.0,462.0,569.0,2022,
6,1130,2429,1445,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,BATTALGAZİ,EŞİ ÖLDÜ,1307.0,185.0,1122.0,2022,
6,1130,2429,1450,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,AYDINLIKEVLER,HİÇ EVLENMEDİ,6663.0,3316.0,3347.0,2022,
6,1130,2429,1450,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,AYDINLIKEVLER,EVLİ,11229.0,5501.0,5728.0,2022,
6,1130,2429,1450,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,AYDINLIKEVLER,BOŞANDI,2066.0,843.0,1223.0,2022,
6,1130,2429,1450,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,AYDINLIKEVLER,EŞİ ÖLDÜ,1797.0,196.0,1601.0,2022,
6,1130,2429,1452,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,BARAJ,HİÇ EVLENMEDİ,3352.0,1862.0,1490.0,2022,
6,1130,2429,1452,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,BARAJ,EVLİ,10139.0,5081.0,5058.0,2022,
6,1130,2429,1452,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,BARAJ,BOŞANDI,713.0,295.0,418.0,2022,
6,1130,2429,1452,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,BARAJ,EŞİ ÖLDÜ,376.0,56.0,320.0,2022,
